19850401	-9999	-9999	-9999
19850402	-9999	-9999	-9999
19850403	-9999	-9999	-9999
19850404	-9999	-9999	-9999
19850405	-9999	-9999	-9999
19850406	-9999	-9999	-9999
19850407	-9999	-9999	-9999
19850408	-9999	-9999	-9999
19850409	-9999	-9999	-9999
19850410	-9999	-9999	-9999
19850411	-9999	-9999	-9999
19850412	-9999	-9999	-9999
19850413	  283	   72	    0
19850414	  111	   50	    0
19850415	  194	   28	    0
19850416	  283	  100	    0
19850417	  283	  122	    0
19850418	  300	  156	    0
19850419	  328	  211	    0
19850420	  300	  122	   33
19850421	  294	  172	    0
19850422	  311	  139	  155
19850423	  233	  133	   56
19850424	  122	   56	   23
19850425	  211	   78	   58
19850426	   89	   72	  284
19850427	  111	   61	   81
19850428	  167	   56	    0
19850429	  217	   72	    0
19850430	  239	  144	   28
19850501	  189	  122	  142
19850502	  222	  106	    0
19850503	  239	   83	    0
19850504	  256	   83	    0
19850505	  278	  150	    0
19850506	  222	   89	  163
19850507	  233	  111	    0
19850508	  267	  106	    0
19850509	  289	  150	    0
19850510	  306	  167	    0
19850511	  289	  172	   41
19850512	  283	  122	   94
19850513	  222	  122	    0
19850514	  156	  111	  335
19850515	  150	  100	  284
19850516	  150	  100	    0
19850517	  211	   94	    0
19850518	  211	  100	    0
19850519	  272	  111	    0
19850520	  283	  111	   74
19850521	  228	  106	    0
19850522	  239	   89	    0
19850523	  267	  133	    0
19850524	  289	  133	   61
19850525	  272	  133	    0
19850526	  317	  161	    0
19850527	  311	  144	  152
19850528	  244	  133	    0
19850529	  267	  161	   46
19850530	  294	  161	   94
19850531	  283	  139	    0
19850601	  250	  122	    0
19850602	  278	   83	   28
19850603	  211	   89	    0
19850604	  233	  100	   91
19850605	  161	  100	   30
19850606	  244	  106	    0
19850607	  278	  150	    0
19850608	  311	  156	    0
19850609	  400	  144	    0
19850610	  272	  144	   13
19850611	  239	  133	   84
19850612	  211	   94	    8
19850613	  217	   94	    0
19850614	  250	  111	   33
19850615	  256	  156	    5
19850616	  300	  161	    8
19850617	  333	  150	    0
19850618	  278	  150	    0
19850619	  233	  150	    0
19850620	  250	  117	    0
19850621	  339	  194	    0
19850622	  311	  139	    0
19850623	  317	  156	   53
19850624	  300	  178	  384
19850625	  300	  178	    0
19850626	  328	  189	    0
19850627	  217	  133	  155
19850628	  233	  133	    0
19850629	  244	  139	    0
19850630	  272	  150	    0
19850701	  283	  156	    0
19850702	  306	  200	    0
19850703	  283	  139	    0
19850704	  356	  183	    0
19850705	  317	  167	    0
19850706	  294	  144	    0
19850707	  328	  178	    0
19850708	  367	  194	    0
19850709	  311	  211	    0
19850710	  356	  178	    0
19850711	  328	  189	    0
19850712	  333	  217	    0
19850713	  317	  194	    0
19850714	  328	  194	   79
19850715	  322	  172	    0
19850716	  289	  150	    0
19850717	  289	  156	    0
19850718	  333	  200	   25
19850719	  311	  217	   43
19850720	  278	  150	    0
19850721	  256	  156	    0
19850722	  317	  156	    0
19850723	  289	  156	    0
19850724	  311	  156	   48
19850725	  311	  194	    0
19850726	  300	  144	    0
19850727	  306	  139	    0
19850728	  294	  161	    0
19850729	  294	  183	    0
19850730	  278	  161	  185
19850731	  256	  172	    3
19850801	  194	  150	    0
19850802	  256	  133	    0
19850803	  261	  156	   20
19850804	  250	  172	    0
19850805	  283	  172	    0
19850806	  339	  183	    0
19850807	  311	  167	    0
19850808	  311	  178	    0
19850809	  311	  194	    0
19850810	  306	   89	   66
19850811	  250	  106	    0
19850812	  256	  128	   13
19850813	  272	  150	   20
19850814	  300	  156	   56
19850815	  228	  117	    0
19850816	  256	  133	    0
19850817	  278	  167	  175
19850818	  244	  100	    0
19850819	  239	  133	    0
19850820	  267	  133	    0
19850821	  256	  144	    0
19850822	  250	  178	  160
19850823	  283	  178	  102
19850824	  278	  139	   13
19850825	  228	  133	    0
19850826	  222	  106	    0
19850827	  261	  122	    0
